全部,#genre#
CCTV-5+,http://113.101.119.146:8090/hls/10/index.m3u8
CCTV-6高清,http://113.101.119.146:8090/hls/118/index.m3u8
CCTV-7高清,http://113.101.119.146:8090/hls/119/index.m3u8
CCTV-8高清,http://113.101.119.146:8090/hls/120/index.m3u8
CCTV-9高清,http://113.101.119.146:8090/hls/121/index.m3u8
CCTV-10高清,http://113.101.119.146:8090/hls/122/index.m3u8
CCTV-11高清,http://113.101.119.146:8090/hls/123/index.m3u8
CCTV-12高清,http://113.101.119.146:8090/hls/124/index.m3u8
CCTV-13高清,http://113.101.119.146:8090/hls/125/index.m3u8
CCTV-14,http://113.101.119.146:8090/hls/5/index.m3u8
CCTV-15高清,http://113.101.119.146:8090/hls/127/index.m3u8
湖南卫视,http://113.101.119.146:8090/hls/130/index.m3u8
吉林卫视,http://113.101.119.146:8090/hls/101/index.m3u8
东南卫视,http://113.101.119.146:8090/hls/102/index.m3u8
天津卫视,http://113.101.119.146:8090/hls/132/index.m3u8
山东卫视,http://113.101.119.146:8090/hls/133/index.m3u8
江西卫视,http://113.101.119.146:8090/hls/134/index.m3u8
深圳卫视,http://113.101.119.146:8090/hls/135/index.m3u8
湖北卫视,http://113.101.119.146:8090/hls/136/index.m3u8
江苏卫视,http://113.101.119.146:8090/hls/17/index.m3u8
贵州卫视,http://113.101.119.146:8090/hls/139/index.m3u8
四川卫视,http://113.101.119.146:8090/hls/140/index.m3u8
重庆卫视,http://113.101.119.146:8090/hls/143/index.m3u8
云浮综合,http://113.101.119.146:8090/hls/200/index.m3u8
云浮公共,http://113.101.119.146:8090/hls/201/index.m3u8
汕头一台,http://120.238.53.230:2223/hls/76/index.m3u8
汕头二台,http://120.238.53.230:2223/hls/69/index.m3u8
汕头三台,http://120.238.53.230:2223/hls/62/index.m3u8
凤凰资讯,http://120.238.53.230:2223/hls/10/index.m3u8
CCTV-5＋体育,http://120.238.53.230:2223/hls/91/index.m3u8
优漫卡通,http://120.238.53.230:2223/hls/77/index.m3u8
金鹰卡通,http://120.238.53.230:2223/hls/83/index.m3u8
嘉佳卡通,http://120.238.53.230:2223/hls/72/index.m3u8
CCTV-14少儿,http://120.238.53.230:2223/hls/84/index.m3u8
少儿,http://120.238.53.230:2223/hls/84/index.m3u8
广东新闻,http://120.238.53.230:2223/hls/5/index.m3u8
TVS1,http://120.238.53.230:2223/hls/1/index.m3u8
CCTV-1综合,http://120.238.53.230:2223/hls/23/index.m3u8
综合,http://120.238.53.230:2223/hls/23/index.m3u8
﻿CCTV-2财经,http://120.238.53.230:2223/hls/73/index.m3u8
财经,http://120.238.53.230:2223/hls/73/index.m3u8
CCTV-3综艺,http://120.238.53.230:2223/hls/24/index.m3u8
综艺,http://120.238.53.230:2223/hls/24/index.m3u8
CCTV-4国际,http://120.238.53.230:2223/hls/74/index.m3u8
国际,http://120.238.53.230:2223/hls/74/index.m3u8
